Number of true negative reads: 1352.

id	correct_species_taxid	correct_genus_taxid	script_species_taxid	script_genus_taxid
6e3668f4-a10f-909b-5ff0-209f0de9a512	562	561	*	*
392e74e1-ada6-8260-0923-04df510133d4	-	-	*	*
3b9d7a2a-5bc4-11ed-a5b0-cffe613c3c80	287	286	*	*
3dc90f1f-6269-1834-fc61-3bea93a36fd3	-	-	*	*
210bcc7f-6e9e-767b-7422-754011181e83	-	-	*	*
2e87bcd9-3977-5868-a966-f287ae74a8d7	-	-	*	*
44bcaa42-783e-72e4-1948-0882a5eeac49	-	-	*	*
b24515f1-0969-ef06-c6c3-388b186cce03	-	-	*	*
98113726-0a77-c9b8-2e4d-421fce73979c	-	-	*	*
ad1a1865-9dab-5ff4-2872-03a2add4f66a	-	-	*	*
1b51d83a-46a8-a161-fb8a-2fdf4c2d7ac0	-	-	*	*
9e92004c-b9d5-ca4a-960d-aa7461285e59	562	561	*	*
6a08d36e-f4b5-f270-5ce0-f0a5bdf94b72	-	-	*	*
0b1a83d9-a1c5-e0eb-8e29-f4def3f80954	-	-	*	*
9b70cee1-5a02-9150-dff3-c58f68228c96	-	-	*	*
de6a3e8f-6f32-e4e1-962b-cf915e70ad1f	-	-	*	*
77f31e75-fad3-ce16-5620-4b222a950969	1613	2742598	*	*
9819fb5d-6673-936b-8fbc-fb25bb578ab6	-	-	*	*
ddaf9f9e-6470-9c74-e95b-edbb1c7770df	-	-	*	*
c4a0eda9-0f2b-75b2-561a-30b3c27b2fed	562	561	*	*
0d5e50d9-af6d-b68a-f632-119fcd7cba41	-	-	*	*
3bd1f4e7-67ef-a28a-e389-ebfcecf8bcff	1423	1386	*	*
1aaf51a2-3128-1d52-ad3f-50275823c336	-	-	*	*
043a0e3b-d626-78d8-75d1-2d0e77a2c7a7	-	-	*	*
2a3eb609-016d-efe0-e6a4-a0ad5ee53796	-	-	*	*
60d13d53-1f8c-d83e-3d96-1e1412af182b	287	286	*	*
440099af-2d3e-9a0c-c9df-51f6b629dbae	1351	1350	*	*
c7c12ae5-eff1-46f2-4c45-6274a10f3381	-	-	*	*
